"","MandateId","SearchStatus","MandateDate","EntryDate","MandateSizeCurrency","MandateSizeAmount","AccountSizeAmount","MandateRegion","Fund","FundType","FundCountry","FundRegion","SearchConsultant","AssetManager","AssetManagerParentFirm","AssetManagerCountry","MainAssetClass","InvestmentApproach","SubAssetClass","CapSize","Style","Benchmark.Index","Month","Region","Year","Quarter","AC2","XR","OriginalAmount"
"700",2147028760,"Completed",2017-01-30,"1/30/2017","USD",15,15,"Europe","Arizona Public Safety Personnel Retirement System","Public D.B.","United States","North America","NEPC","Catalyst Capital Group","","Canada","Real Estate","Mixed/Unspecified","Opportunistic","","","","01","US","2017","Q1","Real Estate",1,15
"705",2147029711,"Completed",2017-03-27,"3/27/2017","USD",25,25,"Latin America","Missouri Local Government Employees Retirement System","Public D.B.","United States","North America","None","Catterton Partners","","United States","Private Equity","","Buyout","","","","03","US","2017","Q1","Private Equity",1,25
"706",2147030408,"Completed",2017-05-17,"5/17/2017","USD",20,20,"Latin America","Alaska Permanent Fund Corporation","Public D.B.","United States","North America","TorreyCove Capital Partners","Catterton Partners","","United States","Private Equity","","Buyout","","","","05","US","2017","Q2","Private Equity",1,20
"707",2147030801,"Completed",2017-06-15,"6/15/2017","USD",100,10,"International","Anne Arundel County Retirement System","Public D.B.","United States","North America","NEPC","Causeway Capital Management","","United States","Equity","Mixed/Unspecified","","","","","06","US","2017","Q2","Equity",1,10
"708",2147033079,"Completed",2017-09-21,"9/21/2017","USD",40,40,"Emerging Markets","Baltimore (City of) Fire & Police Employees’ Retirement System","Public D.B.","United States","North America","Summit Strategies Group","Causeway Capital Management","","United States","Equity","Mixed/Unspecified","","","","","09","US","2017","Q3","Equity",1,40
"709",2147028989,"Completed",2017-02-09,"2/9/2017","USD",75,50,"U.S.","West Virginia Investment Management Board","Manager of Managers","United States","North America","Albourne Partners","Caxton Associates","","United States","Hedge Funds","","Multi-Strategy","","","","02","US","2017","Q1","Hedge Funds",1,50
"717",2147030825,"Completed",2017-06-16,"6/16/2017","USD",162.5,162.5,"U.S.","California State Teachers Retirement System (CalSTRS)","Public D.B.","United States","North America","None","CBRE Global Investors","","United Kingdom","Real Estate","Mixed/Unspecified","Commercial","","","","06","US","2017","Q2","Real Estate",1,162.5
"718",2147033054,"Completed",2017-09-29,"9/29/2017","USD",50,50,"U.S.","Kansas Public Employees Retirement System","Public D.B.","United States","North America","The Townsend Group","CBRE Global Investors","","United Kingdom","Real Estate","Mixed/Unspecified","Opportunistic/Value-Added","","","","09","US","2017","Q3","Real Estate",1,50
"719",2147032150,"Completed",2017-08-21,"8/21/2017","USD",50,50,"U.S.","Hawaii Employees Retirement System","Public D.B.","United States","North America","Pension Consulting Alliance","CBRE Global Investors","","United Kingdom","Real Estate","Mixed/Unspecified","Value-Added","","","","08","US","2017","Q3","Real Estate",1,50
"721",2147031427,"Completed",2017-07-11,"7/12/2017","USD",103,103,"Europe","Texas Teachers' Retirement System","Public D.B.","United States","North America","The Townsend Group","CBRE Global Investors","","United Kingdom","Real Estate","Mixed/Unspecified","Opportunistic","","","","07","US","2017","Q3","Real Estate",1,103
"722",2147030279,"Completed",2017-05-08,"5/8/2017","USD",75,75,"U.S.","Texas Teachers' Retirement System","Public D.B.","United States","North America","Hamilton Lane Advisors","CCMP Capital Advisors","","United States","Private Equity","","Buyout","","","","05","US","2017","Q2","Private Equity",1,75
"724",2147030176,"Completed",2017-04-27,"4/27/2017","USD",5,5,"U.S.","Los Angeles Fire & Police Pension System","Public D.B.","United States","North America","Portfolio Advisors","Centana Growth Partners","","United States","Private Equity","","Technology","","","","04","US","2017","Q2","Private Equity",1,5
"726",2147030434,"Completed",2017-05-18,"5/18/2017","USD",56,56,"Global","Alaska Permanent Fund Corporation","Public D.B.","United States","North America","TorreyCove Capital Partners","Centerbridge Capital Partners","","United States","Private Equity","","Middle-Market","","","","05","US","2017","Q2","Private Equity",1,56
"728",2147028769,"Completed",2017-03-29,"3/29/2017","USD",200,200,"Global","North Dakota State Investment Board","Public D.B.","United States","North America","Callan Associates","Cerberus Capital Management","","United States","Private Equity","","Credit-Focused/Middle-Market","","","","03","US","2017","Q1","Private Equity",1,200
"730",2147028887,"Completed",2017-02-02,"2/2/2017","USD",200,200,"U.S.","Florida State Board of Administration","Public D.B.","United States","North America","Cambridge Associates","Cerberus Capital Management","","United States","Fixed Income","Mixed/Unspecified","Senior Loans","","","","02","US","2017","Q1","Fixed Income",1,200
"731",2147030490,"Completed",2017-05-26,"5/26/2017","USD",100,100,"U.S.","New Mexico Public Employees Retirement Association","Public D.B.","United States","North America","TorreyCove Capital Partners","Cerberus Capital Management","","United States","Private Equity","","Fund-of-Funds","","","","05","US","2017","Q2","Private Equity",1,100
"732",2147016201,"Completed",2017-06-23,"6/23/2017","USD",21,4,"U.S.","Oklahoma Municipal Retirement Fund","Public D.B.","United States","North America","Asset Consulting Group","Cevian Capital","","United Kingdom","Hedge Funds","","Long/Short","","","","06","US","2017","Q2","Hedge Funds",1,4
"733",2147028496,"Completed",2017-01-06,"1/6/2017","USD",478,155,"U.S.","Ohio Bureau of Workers Compensation","Public D.B.","United States","North America","RVK Inc.","Champlain Investment Partners","","United States","Equity","Active","","Mid-Cap","Core","","01","US","2017","Q1","Equity",1,155
"735",2147032461,"Completed",2017-09-13,"9/13/2017","USD",7.5,7.5,"U.S.","El Paso (Texas) Firemen & Policemen’s Pension Fund","Public D.B.","United States","North America","Meketa Investment Group","Charlesbank Capital Partners","Charlesbank Capital Partners LLC","United States","Private Equity","","Buyout/Middle-Market","","","","09","US","2017","Q3","Private Equity",1,7.5
"736",2147032818,"Completed",2017-09-12,"9/12/2017","USD",110,110,"U.S.","Tennessee Consolidated Retirement System","Public D.B.","United States","North America","None","Charlesbank Capital Partners","Charlesbank Capital Partners LLC","United States","Private Equity","","Middle-Market","","","","09","US","2017","Q3","Private Equity",1,110
"737",2147032201,"Completed",2017-08-16,"8/18/2017","USD",150,150,"U.S.","Massachusetts Pension Reserves Investment Management Board","Public D.B.","United States","North America","Aon Hewitt Investment Consulting","Charlesbank Capital Partners","Charlesbank Capital Partners LLC","United States","Private Equity","","Middle-Market","","","","08","US","2017","Q3","Private Equity",1,150
"741",2147030431,"Completed",2017-05-18,"5/18/2017","USD",25,25,"Europe","Alaska Permanent Fund Corporation","Public D.B.","United States","North America","TorreyCove Capital Partners","Chequers Capital","","France","Private Equity","","Buyout","","","","05","US","2017","Q2","Private Equity",1,25
"742",2147030356,"Completed",2017-05-18,"5/18/2017","USD",55,55,"Europe","Massachusetts Pension Reserves Investment Management Board","Public D.B.","United States","North America","Aon Hewitt Investment Consulting","Chequers Capital","","France","Private Equity","","Buyout","","","","05","US","2017","Q2","Private Equity",1,55
"743",2147030261,"Completed",2017-05-04,"5/4/2017","USD",49,49,"Europe","Texas County & District Retirement System","Public D.B.","United States","North America","Cliffwater","Chequers Capital","","France","Private Equity","","Buyout","","","","05","US","2017","Q2","Private Equity",1,49
"744",2147029839,"Completed",2017-04-04,"4/4/2017","AUD",53,42.4247760692244,"Global","District of Columbia Retirement Board","Public D.B.","United States","North America","Meketa Investment Group","Chequers Capital","","France","Private Equity","","","","","","04","US","2017","Q2","Private Equity",1.24927,53
"745",2147033212,"Completed",2017-09-27,"9/28/2017","USD",25,25,"Europe","Alaska Permanent Fund Corporation","Public D.B.","United States","North America","TorreyCove Capital Partners","Chequers Capital","","France","Private Equity","","Buyout","","","","09","US","2017","Q3","Private Equity",1,25
"746",2147031897,"Completed",2017-08-01,"8/1/2017","USD",51,51,"Europe","State of Wisconsin Investment Board","Public D.B.","United States","North America","None","Chequers Capital","","France","Private Equity","","Buyout","","","","08","US","2017","Q3","Private Equity",1,51
"747",2147028752,"Completed",2017-02-03,"2/3/2017","USD",90,90,"Europe","New Mexico Public Employees Retirement Association","Public D.B.","United States","North America","Wilshire Associates","Cheyne Capital Management","","United Kingdom","Real Estate","Mixed/Unspecified","Debt","","","","02","US","2017","Q1","Real Estate",1,90
"748",2147024097,"Completed",2017-07-13,"7/13/2017","USD",250,125,"U.S.","Oklahoma Teachers Retirement System","Public D.B.","United States","North America","AndCo Consulting (formerly The Bogdahn Group)","Chickasaw Capital Management","","United States","Real Assets","","","","","","07","US","2017","Q3","Other Alternatives",1,125
"757",2147032874,"Completed",2017-09-14,"9/18/2017","USD",100,100,"U.S.","Pennsylvania State Employees Retirement System","Public D.B.","United States","North America","NEPC","C-III Capital Partners","","United States","Real Estate","Mixed/Unspecified","Commercial/Value-Added","","","","09","US","2017","Q3","Real Estate",1,100
"758",2147029310,"Completed",2017-03-02,"3/2/2017","USD",250,250,"North America","Alaska Permanent Fund Corporation","Public D.B.","United States","North America","Callan Associates","CIM Group","Abbey National Asset Managers","United States","Real Assets","","Infrastructure","","","","03","US","2017","Q1","Other Alternatives",1,250
"761",2147032784,"Completed",2017-09-11,"9/11/2017","USD",150,150,"International","Texas Teachers' Retirement System","Public D.B.","United States","North America","Hamilton Lane Advisors","Cinven","","United Kingdom","Private Equity","","Buyout","","","","09","US","2017","Q3","Private Equity",1,150
"764",2147030647,"Completed",2017-06-06,"6/6/2017","USD",35,35,"Global","Colorado Fire & Police Pension Association","Public D.B.","United States","North America","None","Citadel","","United States","Hedge Funds","","Multi-Strategy","","","","06","US","2017","Q2","Hedge Funds",1,35
"766",2147032228,"Completed",2017-08-14,"8/14/2017","USD",60,60,"Emerging Markets","Seattle City Employees’ Retirement System","Public D.B.","United States","North America","NEPC","City of London Investment Management Group","","United States","Equity","Mixed/Unspecified","","","","","08","US","2017","Q3","Equity",1,60
"767",2147030128,"Completed",2017-04-25,"4/25/2017","USD",25,25,"U.S.","Arkansas Teachers Retirement System","Public D.B.","United States","North America","Aon Hewitt Investment Consulting","Clarion Partners","","United States","Real Estate","Mixed/Unspecified","Opportunistic","","","","04","US","2017","Q2","Real Estate",1,25
"768",2147030161,"Completed",2017-04-26,"4/26/2017","USD",28,14,"U.S.","Hollywood (Fla.) Police Pension System","Public D.B.","United States","North America","AndCo Consulting (formerly The Bogdahn Group)","ClariVest Asset Management","","United States","Equity","Active","","Large-Cap","Growth","","04","US","2017","Q2","Equity",1,14
"769",2147031372,"Completed",2017-07-10,"7/10/2017","USD",7.4,7.4,"U.S.","Texas Emergency Services Retirement System","Public D.B.","United States","North America","AndCo Consulting (formerly The Bogdahn Group)","Clarkston Capital Partners","","United States","Equity","Mixed/Unspecified","","Small- to Mid-Cap","Value","","07","US","2017","Q3","Equity",1,7.4
"770",2147029385,"Completed",2017-03-07,"3/7/2017","USD",325,325,"U.S.","Texas Teachers' Retirement System","Public D.B.","United States","North America","Hamilton Lane Advisors","Clayton, Dubilier & Rice","","United States","Private Equity","","Buyout","","","","03","US","2017","Q1","Private Equity",1,325
"771",2147028991,"Completed",2017-02-09,"2/9/2017","USD",7,7,"U.S.","Oklahoma State Regents for Higher Education","Endowment","United States","North America","Mercer","Clayton, Dubilier & Rice","","United States","Private Equity","","","","","","02","US","2017","Q1","Private Equity",1,7
"772",2147031391,"Completed",2017-07-10,"7/10/2017","USD",65,65,"Global","Los Angeles Department of Water & Power Retirement Plan","Public D.B.","United States","North America","RVK Inc.","Clayton, Dubilier & Rice","","United Kingdom","Private Equity","","Buyout/Middle-Market","","","","07","US","2017","Q3","Private Equity",1,65
